original_path,original_name,new_name,产品分类,产品系列,产品编码,核心规格,包装类型,日期,版本,渠道,状态,设计图号,客户,备注,file_hash,duplicate_group,thumbnail_path
/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/涂附-BS03-FPD10029-BS03_BS04通用-20250909-V1.pdf,涂附-BS03-FPD10029-BS03_BS04通用-20250909-V1.pdf,涂附-海绵块-BS03_BS04通用-_-_-20250909-V1.pdf,涂附,BS03,BS03,待补充,彩盒,20250909,V1,其他,DONE,FPD10029,,,e5c7540cd6a213528031c4fe8459e0a282378e1eacff3a3054926b45cbb4591f,,
/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/涂附-FT77-50PCS-50PCS-20250704-V1.pdf,涂附-FT77-50PCS-50PCS-20250704-V1.pdf,涂附-FT77-50PCS-50PCS-20250704-V1.pdf,涂附,FT77,FT77,50PCS,规格标签,20250704,V1,其他,DONE,,,,9da206393e2942402a356423cb067d31b51b0e9f419cb5ed7f64c78152e7b5d0,,
/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/涂附-拉绒片-B65-228mm，多孔-20250617-V1.pdf,涂附-拉绒片-B65-228mm，多孔-20250617-V1.pdf,涂附-拉绒片-B65-228mm，多孔-10PCS-20250617-V1.pdf,涂附,B65,B65,待补充,彩盒,20250617,V1,其他,DONE,,,,273fb83d72e8a7d1bc1a39362531a68cb88302fc11a1b2770d431a2dd44ebac6,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-A15-115MM,8H-5PCS-20250722-V1.pdf","涂附-拉绒片-A15-115MM,8H-5PCS-20250722-V1.pdf","涂附-拉绒片-A15-125MM,8H-5PCS-20250722-V1.pdf",涂附,A15,A15,115_8H,彩盒,20250722,V1,商超,DONE,,,,889c0245f16695030172326d53e4296c42bf1c6a36e5cff792e13c906f3ca406,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-A15-125MM,8H-20PCS-20250722-V1.pdf","涂附-拉绒片-A15-125MM,8H-20PCS-20250722-V1.pdf","涂附-拉绒片-A15-125MM,8H-20PCS-20250722-V1.pdf",涂附,A15,A15,125_8H,彩盒,20250722,V1,商超,DONE,,,,714ad1a15b0700f79dbc5c43b10c1586c917e8315557683922646883e016ffab,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-A15-125MM,8H-5PCS-20250722-V1.pdf","涂附-拉绒片-A15-125MM,8H-5PCS-20250722-V1.pdf","涂附-拉绒片-A15-125MM,8H-5PCS-20250722-V1.pdf",涂附,A15,A15,125_8H,彩盒,20250722,V1,商超,DONE,,,,202024751cd2f471a3e93b29338500c1144c7bef2c944fe0b4bbbdbffe8a3c9e,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-A15-150MM,15H-20PCS-20250807-V1.pdf","涂附-拉绒片-A15-150MM,15H-20PCS-20250807-V1.pdf","涂附-拉绒片-A15-150MM,15H-20PCS-20250807-V1.pdf",涂附,A15,A15,150_15H,彩盒,20250807,V1,商超,DONE,,,混装,6eef29eb8e3b92f8d82a57bc8a702ec7a3aae7fcadcb21e407a9ee37331d138a,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-A15-150MM,15H-25PCS-20250722-V1.pdf","涂附-拉绒片-A15-150MM,15H-25PCS-20250722-V1.pdf","涂附-拉绒片-A15-150MM,15H-25PCS-20250722-V1.pdf",涂附,A15,A15,150_6H,彩盒,20250722,V1,商超,DONE,,,混装,98682f4409c14f524d08da5046538e19b953c40e07b656d2f1a005581d1a0dea,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-A15-225MM,9H-25PCS-20250722-V1.pdf","涂附-拉绒片-A15-225MM,9H-25PCS-20250722-V1.pdf","涂附-拉绒片-A15-225MM,9H-25PCS-20250722-V1.pdf",涂附,A15,A15,225_9H,彩盒,20250722,V1,商超,DONE,,,,05bfd73e238b699644090bf4c4b25d65a2a65e24c2bd5c75ec341d550d3f0e31,,
"/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE 商超/涂附-拉绒片-A15-225MM,9H-5PCS-20250722-V1.pdf","涂附-拉绒片-A15-225MM,9H-5PCS-20250722-V1.pdf","涂附-拉绒片-A15-225MM,9H-5PCS-20250722-V1.pdf",涂附,A15,A15,225_9H,彩盒,20250722,V1,商超,DONE,,,,8e07e9895ff2b8ecfebc1ddef6cb32541dea433409d61e8578f719fe99dc789d,,
